graph,disorder,TF_A,TF_B
grn,ASD,ENSG00000146592,ENSG00000146592
grn,MDD,ENSG00000118513,ENSG00000136630
grn,MDD,ENSG00000118513,ENSG00000008197
grn,MDD,ENSG00000120149,ENSG00000120149
grn,MDD,ENSG00000120149,ENSG00000114315
grn,MDD,ENSG00000120149,ENSG00000105880
grn,MDD,ENSG00000180828,ENSG00000170561
grn,MDD,ENSG00000180828,ENSG00000160973
grn,MDD,ENSG00000180828,ENSG00000170345
grn,MDD,ENSG00000180828,ENSG00000010030
grn,MDD,ENSG00000105880,ENSG00000120149
grn,MDD,ENSG00000143867,ENSG00000103241
grn,MDD,ENSG00000170549,ENSG00000177374
grn,MDD,ENSG00000170549,ENSG00000160973
grn,MDD,ENSG00000170549,ENSG00000170549
grn,MDD,ENSG00000120738,ENSG00000173253
grn,MDD,ENSG00000120738,ENSG00000101883
grn,MDD,ENSG00000120738,ENSG00000171056
grn,MDD,ENSG00000135625,ENSG00000164736
grn,MDD,ENSG00000135625,ENSG00000135625
grn,MDD,ENSG00000170345,ENSG00000103241
grn,MDD,ENSG00000170345,ENSG00000180828
grn,MDD,ENSG00000170345,ENSG00000135638
grn,MDD,ENSG00000122877,ENSG00000073282
grn,MDD,ENSG00000122877,ENSG00000122877
grn,MDD,ENSG00000204103,ENSG00000136630
grn,MDD,ENSG00000204103,ENSG00000064218
grn,MDD,ENSG00000174576,ENSG00000136630
grn,MDD,ENSG00000174576,ENSG00000160973
grn,MDD,ENSG00000101883,ENSG00000152192
grn,MDD,ENSG00000101883,ENSG00000120738
grn,MDD,ENSG00000174963,ENSG00000136630
grn,MDD,ENSG00000135363,ENSG00000006377
grn,MDD,ENSG00000185811,ENSG00000175832
grn,MDD,ENSG00000100146,ENSG00000164651
grn,MDD,ENSG00000170561,ENSG00000180828
grn,MDD,ENSG00000164736,ENSG00000135625
grn,MDD,ENSG00000006377,ENSG00000135363
grn,MDD,ENSG00000006377,ENSG00000149948
grn,MDD,ENSG00000125740,ENSG00000164749
grn,MDD,ENSG00000125740,ENSG00000171223
grn,MDD,ENSG00000171223,ENSG00000125740
grn,MDD,ENSG00000161940,ENSG00000122691
grn,MDD,ENSG00000157613,ENSG00000160973
grn,MDD,ENSG00000157613,ENSG00000173253
grn,MDD,ENSG00000064218,ENSG00000179388
grn,MDD,ENSG00000064218,ENSG00000204103
grn,MDD,ENSG00000010030,ENSG00000180828
grn,MDD,ENSG00000010030,ENSG00000178860
grn,MDD,ENSG00000010030,ENSG00000010030
grn,MDD,ENSG00000146592,ENSG00000185507
grn,MDD,ENSG00000146592,ENSG00000146592
grn,MDD,ENSG00000179388,ENSG00000114315
grn,MDD,ENSG00000179388,ENSG00000064218
grn,MDD,ENSG00000103241,ENSG00000152192
grn,MDD,ENSG00000103241,ENSG00000143867
grn,MDD,ENSG00000103241,ENSG00000170345
grn,MDD,ENSG00000152977,ENSG00000160973
grn,MDD,ENSG00000177374,ENSG00000170549
grn,MDD,ENSG00000136630,ENSG00000118513
grn,MDD,ENSG00000136630,ENSG00000174963
grn,MDD,ENSG00000136630,ENSG00000174576
grn,MDD,ENSG00000136630,ENSG00000204103
grn,MDD,ENSG00000164651,ENSG00000100146
grn,MDD,ENSG00000073282,ENSG00000122877
grn,MDD,ENSG00000164749,ENSG00000125740
grn,MDD,ENSG00000138083,ENSG00000138083
grn,MDD,ENSG00000122691,ENSG00000174332
grn,MDD,ENSG00000122691,ENSG00000161940
grn,MDD,ENSG00000143257,ENSG00000143257
grn,MDD,ENSG00000178860,ENSG00000010030
grn,MDD,ENSG00000173253,ENSG00000157613
grn,MDD,ENSG00000173253,ENSG00000120738
grn,MDD,ENSG00000175832,ENSG00000185811
grn,MDD,ENSG00000008197,ENSG00000118513
grn,MDD,ENSG00000008197,ENSG00000008197
grn,MDD,ENSG00000171056,ENSG00000185507
grn,MDD,ENSG00000171056,ENSG00000120738
grn,MDD,ENSG00000185507,ENSG00000146592
grn,MDD,ENSG00000185507,ENSG00000171056
grn,MDD,ENSG00000152192,ENSG00000103241
grn,MDD,ENSG00000152192,ENSG00000101883
grn,MDD,ENSG00000111206,ENSG00000124664
grn,MDD,ENSG00000135638,ENSG00000170345
grn,MDD,ENSG00000114315,ENSG00000179388
grn,MDD,ENSG00000114315,ENSG00000120149
grn,MDD,ENSG00000114315,ENSG00000114315
grn,MDD,ENSG00000124664,ENSG00000111206
grn,MDD,ENSG00000174332,ENSG00000122691
grn,MDD,ENSG00000160973,ENSG00000152977
grn,MDD,ENSG00000160973,ENSG00000180828
grn,MDD,ENSG00000160973,ENSG00000170549
grn,MDD,ENSG00000160973,ENSG00000157613
grn,MDD,ENSG00000160973,ENSG00000174576
grn,MDD,ENSG00000149948,ENSG00000006377
grn,OCD,ENSG00000197921,ENSG00000197921
grn,OCD,ENSG00000010818,ENSG00000162367
grn,OCD,ENSG00000010818,ENSG00000178403
grn,OCD,ENSG00000010818,ENSG00000185551
grn,OCD,ENSG00000010818,ENSG00000119508
grn,OCD,ENSG00000178403,ENSG00000010818
grn,OCD,ENSG00000178403,ENSG00000221869
grn,OCD,ENSG00000170549,ENSG00000170549
grn,OCD,ENSG00000122877,ENSG00000122877
grn,OCD,ENSG00000174576,ENSG00000007866
grn,OCD,ENSG00000126603,ENSG00000128610
grn,OCD,ENSG00000125740,ENSG00000171223
grn,OCD,ENSG00000119866,ENSG00000119866
grn,OCD,ENSG00000171223,ENSG00000125740
grn,OCD,ENSG00000185551,ENSG00000010818
grn,OCD,ENSG00000119508,ENSG00000010818
grn,OCD,ENSG00000128610,ENSG00000126603
grn,OCD,ENSG00000114315,ENSG00000114315
grn,OCD,ENSG00000162367,ENSG00000010818
grn,OCD,ENSG00000007866,ENSG00000174576
grn,OCD,ENSG00000221869,ENSG00000178403
grn,SZ,ENSG00000172216,ENSG00000163132
grn,SZ,ENSG00000163132,ENSG00000172216
