"GO_term","count","disorders"
"actin filament organization",3,"MDD;OCD;SZ"
"action potential",2,"ASD;OCD"
"activation of innate immune response",4,"ASD;BD;OCD;SZ"
"acute inflammatory response",2,"BD;SZ"
"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",3,"BD;OCD;SZ"
"adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway",2,"BD;SZ"
"alpha-beta T cell activation",3,"BD;OCD;SZ"
"alpha-beta T cell activation involved in immune response",3,"BD;OCD;SZ"
"alpha-beta T cell differentiation",3,"BD;OCD;SZ"
"alpha-beta T cell differentiation involved in immune response",3,"BD;OCD;SZ"
"amide transport",2,"ASD;SZ"
"anatomical structure homeostasis",2,"MDD;SZ"
"antigen processing and presentation",3,"BD;OCD;SZ"
"antigen processing and presentation of exogenous antigen",2,"BD;SZ"
"antigen processing and presentation of exogenous peptide antigen",2,"BD;SZ"
"antigen processing and presentation of exogenous peptide antigen via MHC class II",2,"BD;SZ"
"antigen processing and presentation of peptide antigen",2,"BD;SZ"
"antigen processing and presentation of peptide antigen via MHC class II",2,"BD;SZ"
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",2,"BD;SZ"
"aorta development",2,"OCD;SZ"
"artery development",2,"OCD;SZ"
"axon ensheathment",3,"ASD;MDD;OCD"
"axon guidance",4,"ASD;MDD;OCD;SZ"
"axonogenesis",4,"ASD;MDD;OCD;SZ"
"B cell activation",3,"BD;OCD;SZ"
"B cell differentiation",3,"BD;OCD;SZ"
"blood coagulation",3,"BD;OCD;SZ"
"branching involved in blood vessel morphogenesis",2,"OCD;SZ"
"calcium ion homeostasis",2,"ASD;OCD"
"calcium ion transmembrane import into cytosol",2,"OCD;SZ"
"calcium ion transmembrane transport",3,"ASD;OCD;SZ"
"calcium ion transport",3,"ASD;OCD;SZ"
"calcium-ion regulated exocytosis",2,"ASD;OCD"
"calcium-mediated signaling",2,"OCD;SZ"
"canonical NF-kappaB signal transduction",2,"BD;SZ"
"carboxylic acid transport",2,"BD;SZ"
"cardiac muscle cell action potential",2,"ASD;OCD"
"cardiac muscle cell action potential involved in contraction",2,"ASD;OCD"
"cardiac muscle cell contraction",2,"ASD;OCD"
"cardiac muscle contraction",2,"ASD;OCD"
"CD4-positive, alpha-beta T cell activation",3,"BD;OCD;SZ"
"CD4-positive, alpha-beta T cell differentiation",3,"BD;OCD;SZ"
"CD4-positive, alpha-beta T cell differentiation involved in immune response",3,"BD;OCD;SZ"
"cell activation involved in immune response",3,"BD;OCD;SZ"
"cell adhesion mediated by integrin",3,"BD;OCD;SZ"
"cell chemotaxis",3,"BD;OCD;SZ"
"cell growth",2,"ASD;SZ"
"cell killing",3,"BD;OCD;SZ"
"cell-matrix adhesion",3,"BD;OCD;SZ"
"cell-substrate adhesion",3,"BD;OCD;SZ"
"cell-substrate junction organization",2,"ASD;OCD"
"cellular component maintenance",2,"ASD;SZ"
"cellular detoxification",2,"BD;SZ"
"cellular extravasation",2,"BD;SZ"
"cellular response to abiotic stimulus",4,"ASD;BD;OCD;SZ"
"cellular response to biotic stimulus",2,"BD;SZ"
"cellular response to cadmium ion",2,"BD;SZ"
"cellular response to chemical stress",2,"ASD;MDD"
"cellular response to copper ion",2,"BD;SZ"
"cellular response to environmental stimulus",4,"ASD;BD;OCD;SZ"
"cellular response to external stimulus",2,"BD;SZ"
"cellular response to interleukin-1",2,"BD;SZ"
"cellular response to leukemia inhibitory factor",2,"MDD;SZ"
"cellular response to lipopolysaccharide",2,"BD;SZ"
"cellular response to mechanical stimulus",2,"BD;SZ"
"cellular response to metal ion",3,"BD;OCD;SZ"
"cellular response to molecule of bacterial origin",2,"BD;SZ"
"cellular response to oxidative stress",2,"ASD;MDD"
"cellular response to peptide hormone stimulus",2,"OCD;SZ"
"cellular response to toxic substance",2,"BD;SZ"
"cellular response to transforming growth factor beta stimulus",2,"BD;SZ"
"cellular response to tumor necrosis factor",2,"BD;SZ"
"cellular response to type II interferon",2,"BD;SZ"
"cellular response to vascular endothelial growth factor stimulus",2,"OCD;SZ"
"cellular response to zinc ion",2,"BD;SZ"
"chemokine production",2,"BD;SZ"
"chemotaxis",3,"BD;OCD;SZ"
"coagulation",3,"BD;OCD;SZ"
"cognition",3,"ASD;OCD;SZ"
"collagen fibril organization",3,"ASD;BD;SZ"
"collagen-activated tyrosine kinase receptor signaling pathway",2,"OCD;SZ"
"connective tissue development",2,"BD;SZ"
"cytokine production involved in immune response",3,"BD;OCD;SZ"
"cytolysis",2,"BD;SZ"
"cytoplasmic pattern recognition receptor signaling pathway",3,"ASD;BD;SZ"
"cytoplasmic translation",2,"MDD;OCD"
"defense response to bacterium",2,"BD;SZ"
"defense response to virus",3,"ASD;BD;SZ"
"dendrite development",2,"ASD;OCD"
"dendrite morphogenesis",2,"ASD;OCD"
"dendritic cell antigen processing and presentation",2,"BD;SZ"
"dendritic spine development",2,"ASD;OCD"
"dendritic spine organization",3,"ASD;MDD;OCD"
"detection of biotic stimulus",3,"BD;OCD;SZ"
"detection of external biotic stimulus",3,"BD;OCD;SZ"
"detoxification",2,"BD;SZ"
"detoxification of copper ion",2,"BD;SZ"
"detoxification of inorganic compound",2,"BD;SZ"
"developmental cell growth",2,"ASD;OCD"
"disruption of cell in another organism",2,"BD;SZ"
"ear development",2,"OCD;SZ"
"endothelial cell apoptotic process",2,"BD;SZ"
"endothelial cell development",2,"OCD;SZ"
"endothelial cell differentiation",2,"OCD;SZ"
"endothelium development",2,"OCD;SZ"
"ensheathment of neurons",3,"ASD;MDD;OCD"
"epithelial cell proliferation",2,"BD;SZ"
"epithelial tube morphogenesis",2,"OCD;SZ"
"ERK1 and ERK2 cascade",3,"BD;OCD;SZ"
"erythrocyte differentiation",2,"BD;SZ"
"erythrocyte homeostasis",3,"BD;OCD;SZ"
"establishment of endothelial barrier",2,"OCD;SZ"
"establishment of protein localization to extracellular region",3,"BD;OCD;SZ"
"establishment of protein localization to organelle",2,"ASD;MDD"
"excitatory chemical synaptic transmission",2,"ASD;OCD"
"exocytosis",3,"ASD;OCD;SZ"
"export across plasma membrane",2,"ASD;OCD"
"external encapsulating structure organization",3,"BD;OCD;SZ"
"extracellular matrix organization",3,"BD;OCD;SZ"
"extracellular structure organization",3,"BD;OCD;SZ"
"extrinsic apoptotic signaling pathway",3,"BD;OCD;SZ"
"extrinsic apoptotic signaling pathway via death domain receptors",2,"OCD;SZ"
"face morphogenesis",2,"BD;SZ"
"fat cell differentiation",2,"OCD;SZ"
"Fc receptor signaling pathway",2,"BD;OCD"
"female pregnancy",2,"BD;SZ"
"forebrain development",4,"ASD;MDD;OCD;SZ"
"gamma-aminobutyric acid signaling pathway",2,"ASD;OCD"
"gland development",2,"BD;SZ"
"glial cell development",3,"ASD;OCD;SZ"
"glial cell differentiation",3,"ASD;OCD;SZ"
"glial cell migration",2,"ASD;SZ"
"gliogenesis",3,"ASD;OCD;SZ"
"glomerulus development",3,"BD;OCD;SZ"
"glomerulus vasculature development",3,"BD;OCD;SZ"
"glycerolipid biosynthetic process",3,"ASD;MDD;OCD"
"glycerolipid metabolic process",2,"ASD;OCD"
"glycerophospholipid biosynthetic process",2,"MDD;OCD"
"glycerophospholipid metabolic process",3,"ASD;MDD;OCD"
"granulocyte migration",2,"BD;SZ"
"head morphogenesis",2,"BD;SZ"
"heart contraction",2,"ASD;OCD"
"heart process",2,"ASD;OCD"
"hemostasis",3,"BD;OCD;SZ"
"homeostasis of number of cells",2,"OCD;SZ"
"homotypic cell-cell adhesion",2,"OCD;SZ"
"hormone secretion",2,"OCD;SZ"
"hormone transport",2,"OCD;SZ"
"hydrogen peroxide metabolic process",2,"OCD;SZ"
"immune response-activating cell surface receptor signaling pathway",3,"BD;OCD;SZ"
"immune response-regulating cell surface receptor signaling pathway",3,"BD;OCD;SZ"
"immunological synapse formation",2,"OCD;SZ"
"in utero embryonic development",2,"MDD;SZ"
"innate immune response-activating signaling pathway",4,"ASD;BD;OCD;SZ"
"inner ear development",2,"OCD;SZ"
"integrin-mediated signaling pathway",3,"BD;OCD;SZ"
"interferon-beta production",3,"ASD;BD;SZ"
"interleukin-1 beta production",2,"BD;SZ"
"interleukin-1 production",2,"BD;SZ"
"interleukin-10 production",2,"BD;SZ"
"interleukin-12 production",2,"BD;SZ"
"interleukin-6 production",2,"BD;SZ"
"interleukin-8 production",2,"BD;SZ"
"intracellular calcium ion homeostasis",2,"ASD;OCD"
"intracellular receptor signaling pathway",2,"ASD;BD"
"intracellular zinc ion homeostasis",2,"BD;SZ"
"intrinsic apoptotic signaling pathway",5,"ASD;BD;MDD;OCD;SZ"
"JNK cascade",3,"BD;MDD;SZ"
"kidney development",3,"BD;OCD;SZ"
"kidney vasculature development",3,"BD;OCD;SZ"
"killing of cells of another organism",2,"BD;SZ"
"learning",2,"ASD;OCD"
"learning or memory",3,"ASD;OCD;SZ"
"leukocyte activation involved in immune response",3,"BD;OCD;SZ"
"leukocyte apoptotic process",2,"OCD;SZ"
"leukocyte cell-cell adhesion",3,"BD;OCD;SZ"
"leukocyte chemotaxis",2,"BD;SZ"
"leukocyte degranulation",2,"OCD;SZ"
"leukocyte mediated cytotoxicity",2,"OCD;SZ"
"leukocyte mediated immunity",3,"BD;OCD;SZ"
"leukocyte migration",3,"BD;OCD;SZ"
"leukocyte proliferation",2,"BD;SZ"
"locomotory behavior",2,"OCD;SZ"
"long-term synaptic potentiation",2,"ASD;OCD"
"lymphocyte activation involved in immune response",3,"BD;OCD;SZ"
"lymphocyte differentiation",4,"ADHD;BD;OCD;SZ"
"lymphocyte mediated immunity",2,"BD;SZ"
"lymphocyte proliferation",2,"BD;SZ"
"macrophage activation",3,"BD;OCD;SZ"
"mammary gland development",2,"BD;SZ"
"mammary gland epithelium development",2,"BD;SZ"
"mature B cell differentiation",2,"BD;OCD"
"memory",3,"ASD;OCD;SZ"
"MHC class II protein complex assembly",3,"BD;OCD;SZ"
"MHC protein complex assembly",2,"BD;SZ"
"miRNA transcription",2,"BD;SZ"
"monoatomic anion transmembrane transport",2,"BD;OCD"
"mononuclear cell migration",3,"BD;OCD;SZ"
"mononuclear cell proliferation",2,"BD;SZ"
"multi-multicellular organism process",2,"BD;SZ"
"multi-organism reproductive process",2,"BD;SZ"
"muscle cell proliferation",3,"BD;OCD;SZ"
"muscle contraction",2,"OCD;SZ"
"muscle organ development",2,"BD;SZ"
"muscle system process",2,"OCD;SZ"
"muscle tissue development",2,"OCD;SZ"
"myelination",3,"ASD;MDD;OCD"
"myeloid cell activation involved in immune response",2,"OCD;SZ"
"myeloid cell differentiation",4,"ADHD;BD;OCD;SZ"
"myeloid cell homeostasis",2,"OCD;SZ"
"myeloid leukocyte activation",3,"BD;OCD;SZ"
"myeloid leukocyte cytokine production",3,"BD;OCD;SZ"
"myeloid leukocyte differentiation",3,"BD;OCD;SZ"
"myeloid leukocyte mediated immunity",2,"BD;OCD"
"myeloid leukocyte migration",3,"BD;OCD;SZ"
"negative regulation of adaptive immune response",2,"BD;SZ"
"negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",2,"BD;SZ"
"negative regulation of apoptotic signaling pathway",2,"ASD;SZ"
"negative regulation of catalytic activity",2,"BD;OCD"
"negative regulation of CD4-positive, alpha-beta T cell differentiation",2,"BD;SZ"
"negative regulation of cell activation",2,"BD;SZ"
"negative regulation of cell adhesion",2,"BD;SZ"
"negative regulation of cell development",3,"BD;OCD;SZ"
"negative regulation of cell projection organization",2,"ASD;OCD"
"negative regulation of cell-cell adhesion",2,"BD;SZ"
"negative regulation of complement activation",2,"BD;OCD"
"negative regulation of cytokine production",2,"BD;SZ"
"negative regulation of endothelial cell apoptotic process",2,"BD;SZ"
"negative regulation of ERK1 and ERK2 cascade",2,"BD;OCD"
"negative regulation of extrinsic apoptotic signaling pathway",2,"OCD;SZ"
"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors",2,"BD;SZ"
"negative regulation of growth",2,"BD;SZ"
"negative regulation of hemopoiesis",3,"BD;OCD;SZ"
"negative regulation of humoral immune response",2,"BD;OCD"
"negative regulation of immune effector process",2,"BD;SZ"
"negative regulation of immune response",3,"BD;OCD;SZ"
"negative regulation of leukocyte activation",2,"BD;SZ"
"negative regulation of leukocyte cell-cell adhesion",2,"BD;SZ"
"negative regulation of leukocyte differentiation",3,"BD;OCD;SZ"
"negative regulation of leukocyte proliferation",2,"BD;SZ"
"negative regulation of lymphocyte activation",2,"BD;SZ"
"negative regulation of lymphocyte differentiation",3,"BD;OCD;SZ"
"negative regulation of MAPK cascade",2,"BD;OCD"
"negative regulation of molecular function",3,"BD;OCD;SZ"
"negative regulation of neuron projection development",2,"ASD;OCD"
"negative regulation of phosphate metabolic process",2,"MDD;SZ"
"negative regulation of phosphorus metabolic process",2,"MDD;SZ"
"negative regulation of phosphorylation",2,"OCD;SZ"
"negative regulation of secretion",2,"OCD;SZ"
"negative regulation of secretion by cell",2,"OCD;SZ"
"negative regulation of T cell activation",2,"BD;SZ"
"negative regulation of T cell differentiation",2,"BD;SZ"
"negative regulation of transport",3,"ASD;OCD;SZ"
"negative regulation of viral genome replication",2,"ASD;SZ"
"negative regulation of viral process",2,"ASD;SZ"
"nephron development",2,"OCD;SZ"
"nerve development",2,"OCD;SZ"
"neuron apoptotic process",3,"ASD;OCD;SZ"
"neuron projection extension",2,"ASD;SZ"
"neuron projection guidance",4,"ASD;MDD;OCD;SZ"
"neuron projection organization",3,"ASD;MDD;OCD"
"neurotransmitter secretion",3,"ASD;MDD;OCD"
"neurotransmitter transport",3,"ASD;MDD;OCD"
"neutrophil extravasation",2,"OCD;SZ"
"neutrophil migration",2,"BD;SZ"
"non-canonical NF-kappaB signal transduction",2,"BD;SZ"
"organelle fusion",2,"ASD;MDD"
"organic acid transport",2,"BD;SZ"
"organic cation transport",3,"BD;OCD;SZ"
"ossification",2,"BD;SZ"
"osteoclast differentiation",2,"OCD;SZ"
"p38MAPK cascade",2,"OCD;SZ"
"pallium development",2,"ASD;OCD"
"pattern recognition receptor signaling pathway",4,"ASD;BD;OCD;SZ"
"peptide antigen assembly with MHC class II protein complex",3,"BD;OCD;SZ"
"peptide antigen assembly with MHC protein complex",2,"BD;SZ"
"peptide transport",2,"ASD;OCD"
"peptidyl-amino acid modification",2,"OCD;SZ"
"peptidyl-tyrosine modification",2,"OCD;SZ"
"peptidyl-tyrosine phosphorylation",2,"OCD;SZ"
"phagocytosis",3,"BD;OCD;SZ"
"phagocytosis, engulfment",2,"BD;SZ"
"phosphatidylinositol 3-kinase/protein kinase B signal transduction",3,"BD;OCD;SZ"
"phospholipase C-activating G protein-coupled receptor signaling pathway",3,"BD;OCD;SZ"
"phospholipid biosynthetic process",2,"MDD;OCD"
"phospholipid metabolic process",3,"ASD;MDD;OCD"
"platelet activation",2,"OCD;SZ"
"platelet aggregation",2,"OCD;SZ"
"positive regulation of adaptive immune response",2,"BD;SZ"
"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",2,"BD;SZ"
"positive regulation of alpha-beta T cell activation",3,"BD;OCD;SZ"
"positive regulation of alpha-beta T cell differentiation",2,"BD;SZ"
"positive regulation of angiogenesis",3,"BD;OCD;SZ"
"positive regulation of antigen processing and presentation",2,"BD;SZ"
"positive regulation of apoptotic signaling pathway",2,"BD;SZ"
"positive regulation of canonical NF-kappaB signal transduction",3,"ASD;BD;SZ"
"positive regulation of catalytic activity",3,"BD;OCD;SZ"
"positive regulation of CD4-positive, alpha-beta T cell activation",2,"BD;SZ"
"positive regulation of CD4-positive, alpha-beta T cell differentiation",2,"BD;SZ"
"positive regulation of cell activation",3,"BD;OCD;SZ"
"positive regulation of cell development",2,"OCD;SZ"
"positive regulation of cell projection organization",2,"ASD;OCD"
"positive regulation of cell-cell adhesion",3,"BD;OCD;SZ"
"positive regulation of cell-substrate adhesion",2,"OCD;SZ"
"positive regulation of chemokine production",2,"BD;SZ"
"positive regulation of chemotaxis",2,"BD;SZ"
"positive regulation of cytokine production involved in immune response",3,"BD;OCD;SZ"
"positive regulation of cytokine-mediated signaling pathway",2,"BD;OCD"
"positive regulation of DNA-binding transcription factor activity",2,"BD;OCD"
"positive regulation of endothelial cell proliferation",2,"OCD;SZ"
"positive regulation of epithelial cell proliferation",3,"BD;OCD;SZ"
